iter	Passed	Remaining
0	192	192411
1	215	107332
2	236	78698
3	257	64151
4	278	55390
5	298	49495
6	321	45572
7	341	42298
8	361	39802
9	381	37770
10	401	36115
11	422	34766
12	443	33687
13	464	32736
14	485	31849
15	505	31096
16	526	30468
17	548	29916
18	570	29465
19	606	29739
20	626	29215
21	647	28784
22	667	28345
23	687	27942
24	710	27709
25	730	27372
26	751	27067
27	770	26751
28	788	26398
29	805	26028
30	823	25732
31	840	25424
32	858	25164
33	879	24994
34	900	24832
35	923	24741
36	942	24523
37	961	24353
38	979	24137
39	999	23984
40	1021	23901
41	1040	23725
42	1061	23631
43	1080	23471
44	1101	23384
45	1123	23309
46	1144	23216
47	1164	23105
48	1187	23050
49	1208	22956
50	1228	22851
51	1247	22738
52	1265	22617
53	1286	22532
54	1305	22433
55	1324	22328
56	1344	22245
57	1364	22163
58	1385	22095
59	1406	22040
60	1427	21967
61	1447	21894
62	1467	21830
63	1487	21758
64	1507	21687
65	1527	21611
66	1547	21549
67	1567	21478
68	1586	21408
69	1606	21344
70	1627	21295
71	1649	21258
72	1670	21211
73	1692	21177
74	1714	21141
75	1733	21076
76	1751	21000
77	1772	20949
78	1790	20877
79	1810	20818
80	1828	20741
81	1847	20686
82	1871	20675
83	1889	20606
84	1909	20550
85	1928	20495
86	1950	20471
87	1973	20452
88	1994	20410
89	2014	20373
90	2034	20325
91	2054	20278
92	2075	20242
93	2096	20203
94	2116	20165
95	2138	20136
96	2160	20109
97	2180	20073
98	2201	20040
99	2222	20002
100	2242	19959
101	2261	19909
102	2281	19869
103	2301	19829
104	2321	19789
105	2341	19747
106	2361	19711
107	2381	19671
108	2402	19638
109	2421	19595
110	2440	19546
111	2460	19510
112	2480	19469
113	2499	19425
114	2519	19386
115	2538	19345
116	2557	19303
117	2578	19273
118	2598	19235
119	2618	19199
120	2638	19166
121	2658	19133
122	2678	19098
123	2697	19057
124	2717	19022
125	2737	18985
126	2756	18947
127	2776	18917
128	2797	18886
129	2816	18847
130	2835	18809
131	2855	18778
132	2875	18747
133	2896	18720
134	2918	18699
135	2939	18671
136	2958	18635
137	2980	18616
138	2999	18578
139	3019	18548
140	3039	18515
141	3059	18485
142	3079	18456
143	3099	18424
144	3118	18388
145	3138	18360
146	3158	18330
147	3178	18299
148	3199	18270
149	3219	18241
150	3238	18209
151	3258	18177
152	3278	18148
153	3298	18119
154	3317	18088
155	3339	18068
156	3361	18049
157	3382	18023
158	3402	17997
159	3423	17972
160	3442	17940
161	3463	17916
162	3485	17896
163	3505	17867
164	3525	17840
165	3546	17819
166	3567	17792
167	3586	17759
168	3606	17731
169	3626	17704
170	3645	17674
171	3665	17646
172	3686	17621
173	3706	17596
174	3726	17566
175	3746	17538
176	3765	17507
177	3784	17478
178	3804	17448
179	3823	17420
180	3843	17391
181	3863	17363
182	3883	17335
183	3903	17310
184	3922	17281
185	3943	17255
186	3963	17230
187	3982	17203
188	4002	17175
189	4022	17149
190	4041	17117
191	4061	17090
192	4080	17062
193	4100	17035
194	4119	17007
195	4138	16976
196	4159	16952
197	4179	16927
198	4198	16901
199	4219	16876
200	4238	16850
201	4258	16824
202	4278	16798
203	4298	16773
204	4319	16749
205	4339	16725
206	4360	16703
207	4379	16675
208	4399	16651
209	4419	16624
210	4439	16600
211	4458	16573
212	4479	16552
213	4499	16526
214	4519	16502
215	4540	16480
216	4562	16463
217	4578	16422
218	4593	16381
219	4612	16352
220	4631	16325
221	4648	16292
222	4667	16264
223	4687	16238
224	4708	16216
225	4727	16191
226	4748	16171
227	4770	16151
228	4790	16127
229	4812	16112
230	4833	16091
231	4854	16070
232	4872	16040
233	4894	16020
234	4914	15996
235	4935	15977
236	4955	15952
237	4974	15927
238	4994	15903
239	5014	15878
240	5035	15857
241	5054	15833
242	5075	15811
243	5094	15785
244	5115	15763
245	5134	15738
246	5154	15713
247	5173	15686
248	5193	15664
249	5213	15640
250	5233	15617
251	5253	15592
252	5273	15570
253	5293	15547
254	5313	15522
255	5331	15495
256	5352	15474
257	5375	15459
258	5398	15445
259	5420	15428
260	5443	15414
261	5464	15392
262	5486	15374
263	5508	15356
264	5529	15336
265	5551	15318
266	5572	15298
267	5593	15278
268	5616	15262
269	5638	15244
270	5659	15225
271	5683	15210
272	5704	15192
273	5727	15176
274	5749	15158
275	5771	15140
276	5794	15123
277	5813	15099
278	5833	15074
279	5853	15052
280	5873	15027
281	5892	15003
282	5911	14977
283	5931	14955
284	5952	14932
285	5972	14909
286	5991	14885
287	6016	14872
288	6036	14851
289	6056	14828
290	6076	14805
291	6097	14783
292	6117	14761
293	6137	14739
294	6159	14720
295	6179	14696
296	6199	14674
297	6217	14645
298	6236	14621
299	6256	14598
300	6277	14577
301	6295	14550
302	6319	14536
303	6338	14511
304	6358	14490
305	6378	14466
306	6399	14446
307	6419	14424
308	6439	14400
309	6460	14379
310	6480	14357
311	6501	14336
312	6522	14315
313	6542	14293
314	6563	14272
315	6582	14248
316	6601	14223
317	6621	14201
318	6641	14178
319	6661	14156
320	6680	14132
321	6700	14107
322	6719	14084
323	6739	14062
324	6758	14037
325	6778	14014
326	6798	13992
327	6817	13968
328	6838	13946
329	6857	13922
330	6876	13899
331	6897	13878
332	6916	13853
333	6935	13829
334	6954	13805
335	6973	13781
336	6994	13759
337	7013	13736
338	7033	13713
339	7052	13689
340	7072	13667
341	7092	13644
342	7111	13621
343	7131	13598
344	7150	13575
345	7169	13552
346	7189	13529
347	7209	13507
348	7229	13484
349	7249	13462
350	7269	13441
351	7290	13421
352	7310	13399
353	7332	13381
354	7352	13359
355	7372	13335
356	7391	13313
357	7411	13290
358	7431	13269
359	7452	13248
360	7472	13227
361	7495	13209
362	7515	13187
363	7534	13165
364	7554	13142
365	7575	13122
366	7595	13100
367	7615	13078
368	7635	13056
369	7655	13035
370	7675	13013
371	7696	12992
372	7715	12970
373	7735	12948
374	7755	12925
375	7774	12902
376	7794	12879
377	7813	12857
378	7833	12835
379	7853	12812
380	7872	12790
381	7891	12766
382	7911	12745
383	7930	12722
384	7950	12699
385	7969	12677
386	7989	12654
387	8008	12631
388	8028	12610
389	8048	12589
390	8068	12567
391	8088	12545
392	8108	12523
393	8127	12500
394	8146	12478
395	8165	12454
396	8184	12431
397	8204	12409
398	8223	12386
399	8242	12364
400	8262	12342
401	8281	12319
402	8301	12297
403	8321	12275
404	8340	12253
405	8360	12232
406	8380	12210
407	8400	12188
408	8419	12166
409	8439	12145
410	8459	12123
411	8479	12102
412	8499	12080
413	8519	12059
414	8539	12037
415	8558	12014
416	8578	11993
417	8598	11971
418	8618	11951
419	8637	11928
420	8659	11908
421	8679	11888
422	8699	11866
423	8719	11844
424	8739	11823
425	8759	11802
426	8778	11780
427	8800	11761
428	8819	11738
429	8838	11716
430	8857	11694
431	8878	11672
432	8897	11651
433	8917	11629
434	8939	11610
435	8958	11588
436	8977	11566
437	8997	11545
438	9017	11523
439	9036	11501
440	9057	11480
441	9077	11459
442	9096	11437
443	9117	11417
444	9136	11395
445	9156	11374
446	9176	11352
447	9195	11330
448	9215	11308
449	9233	11285
450	9253	11264
451	9272	11242
452	9292	11220
453	9312	11199
454	9332	11178
455	9351	11156
456	9370	11133
457	9389	11112
458	9409	11090
459	9429	11069
460	9448	11047
461	9468	11026
462	9487	11004
463	9507	10983
464	9527	10962
465	9547	10940
466	9566	10918
467	9585	10896
468	9605	10874
469	9624	10853
470	9644	10832
471	9664	10810
472	9683	10789
473	9703	10767
474	9723	10746
475	9742	10725
476	9762	10704
477	9782	10682
478	9802	10662
479	9821	10640
480	9840	10618
481	9860	10597
482	9881	10577
483	9901	10555
484	9921	10534
485	9940	10513
486	9960	10491
487	9980	10471
488	10002	10452
489	10023	10432
490	10043	10411
491	10063	10390
492	10085	10371
493	10106	10351
494	10128	10332
495	10148	10312
496	10169	10292
497	10189	10270
498	10209	10250
499	10228	10228
500	10247	10206
501	10266	10184
502	10286	10163
503	10306	10142
504	10325	10121
505	10345	10100
506	10364	10078
507	10385	10057
508	10404	10036
509	10424	10015
510	10444	9994
511	10463	9973
512	10483	9952
513	10503	9931
514	10523	9910
515	10543	9889
516	10563	9868
517	10583	9847
518	10603	9826
519	10622	9805
520	10642	9784
521	10661	9763
522	10684	9744
523	10704	9723
524	10723	9702
525	10744	9681
526	10764	9661
527	10783	9640
528	10803	9619
529	10823	9598
530	10845	9579
531	10864	9557
532	10886	9538
533	10907	9518
534	10927	9497
535	10947	9477
536	10967	9456
537	10989	9436
538	11009	9416
539	11029	9395
540	11049	9374
541	11070	9354
542	11090	9334
543	11110	9313
544	11130	9292
545	11151	9272
546	11170	9250
547	11190	9229
548	11210	9209
549	11230	9188
550	11250	9167
551	11270	9147
552	11290	9126
553	11311	9106
554	11331	9085
555	11352	9065
556	11374	9046
557	11394	9025
558	11415	9005
559	11434	8984
560	11453	8963
561	11474	8942
562	11495	8923
563	11516	8902
564	11537	8882
565	11557	8862
566	11577	8841
567	11597	8820
568	11617	8799
569	11637	8778
570	11656	8757
571	11677	8737
572	11696	8716
